  26205   15515   6339  2553  1798 
   431  1033     1   1     5
   430  1034     1   1     5
   431  1034     1   1    12
   432  1034     1   1    15
   433  1034     1   1    17
   434  1034     1   1    18
   435  1034     1   1    19
   436  1034     1   1    19
   437  1034     1   1    18
   438  1034     1   1    16
   439  1034     1   1     6
   429  1035     1   1     8
   430  1035     1   1    16
   431  1035     1   1    23
   432  1035     1   1    27
   433  1035     1   1    29
   434  1035     1   1    31
   435  1035     1   1    32
   436  1035     1   1    32
   437  1035     1   1    32
   438  1035     1   1    30
   439  1035     1   1    24
   440  1035     1   1    16
   441  1035     1   1     7
   427  1036     1   1     5
   428  1036     1   1    11
   429  1036     1   1    19
   440  1036     1   1    30
   441  1036     1   1    21
   442  1036     1   1    11
   426  1037     1   1     5
   427  1037     1   1    14
   428  1037     1   1    24
   429  1037     1   1    31
   440  1037     1   1    44
   441  1037     1   1    37
   442  1037     1   1    27
   443  1037     1   1    14
   444  1037     1   1     5
   424  1038     1   1     5
   425  1038     1   1     9
   426  1038     1   1    17
   427  1038     1   1    26
   444  1038     1   1    22
   445  1038     1   1     8
   424  1039     1   1    11
   425  1039     1   1    21
   426  1039     1   1    29
   427  1039     1   1    39
   444  1039     1   1    41
   445  1039     1   1    28
   446  1039     1   1    17
   447  1039     1   1     5
   423  1040     1   1     8
   424  1040     1   1    23
   425  1040     1   1    32
   446  1040     1   1    32
   447  1040     1   1    19
   422  1041     1   1     5
   423  1041     1   1    22
   424  1041     1   1    35
   425  1041     1   1    46
   446  1041     1   1    49
   447  1041     1   1    33
   448  1041     1   1    15
   421  1042     1   1    10
   422  1042     1   1    21
   423  1042     1   1    35
   448  1042     1   1    31
   449  1042     1   1    15
   420  1043     1   1    12
   421  1043     1   1    25
   422  1043     1   1    36
   423  1043     1   1    51
   448  1043     1   1    45
   449  1043     1   1    30
   450  1043     1   1    12
   419  1044     1   1    14
   420  1044     1   1    24
   421  1044     1   1    36
   450  1044     1   1    26
   451  1044     1   1     7
   418  1045     1   1    14
   419  1045     1   1    28
   420  1045     1   1    36
   421  1045     1   1    52
   450  1045     1   1    41
   451  1045     1   1    22
   452  1045     1   1     5
   417  1046     1   1    15
   418  1046     1   1    28
   419  1046     1   1    40
   452  1046     1   1    17
